,questions,answers
17,Je n'arrive pas à déposer avec ma carte bancaire,"Vos dépôts ne sont pas acceptés sur notre site ? Avez-vous vérifié : 


Que vous avez saisi le bon numéro de votre carte bleue ? 
Que vous avez saisi le bon code de sécurité (cryptogramme visuel) de la carte (Les 3 derniers chiffres au dos de la carte) ?
Que vous avez saisi la bonne date de validité de la carte ?


Si vous êtes sûr de ces données, vérifiez vos limites autorisées auprès de votre banque et assurez-vous que votre carte ne subit aucun autre problème particulier.

Vous pouvez aussi créditer votre compte en utilisant les autres méthodes de dépôt disponibles.

Enfin, nous vous invitons à vérifier que vos modérateurs de jeux sont fixés de manière à vous permettre d’effectuer un dépôt. Vous pouvez les modifier en cliquant ici. En cas d’augmentation, un délai de 48 heures devra impérativement être observé, conformément à la législation en vigueur."
18,Je voudrais faire un dépôt avec une carte bancaire déjà utilisée sur un autre compte,Vos dépôts ne sont pas acceptés sur notre site ? Avez-vous vérifié :
19,Je dispose d'une nouvelle carte bancaire. Comment faire pour l'utiliser sur mon compte ?,"Si vous êtes sûr de ces données, vérifiez vos limites autorisées auprès de votre banque et assurez-vous que votre carte ne subit aucun autre problème particulier.

Vous pouvez aussi créditer votre compte en utilisant les autres méthodes de dépôt disponibles.

Enfin, nous vous invitons à vérifier que vos modérateurs de jeux sont fixés de manière à vous permettre d’effectuer un dépôt. Vous pouvez les modifier en cliquant ici. En cas d’augmentation, un délai de 48 heures devra impérativement être observé, conformément à la législation en vigueur."
20,Je souhaite faire un dépôt via Paypal,"Une carte de crédit ne peut être utilisée que sur un seul compte. Si vous souhaitez procéder au déblocage de votre carte, merci de contacter le support en indiquant les 6 premiers et les 4 derniers chiffres de la carte concernée (exemple : 123456######1234).

Notez que vous devez disposer d’un compte Winamax validé et être le titulaire de la carte pour que nous puissions procéder à cette opération.

Vous pouvez également créditer votre compte en utilisant les autres méthodes de dépôt disponibles."
21,Mon compte Poker n'est pas crédité,"Aucune manipulation particulière n'est requise. Il vous suffit simplement de renseigner votre nouveau numéro de carte lors de votre dépôt.

Vous pouvez gérer la mémorisation de vos cartes bancaires en cliquant ici."
22,Je souhaite retirer mes gains vers un compte bancaire,"L’adresse email liée à votre compte PayPal doit être la même que l'adresse email renseignée sur votre compte Winamax.
Vous ne pourrez pas effectuer un dépôt via un nouveau compte Paypal si vous avez déjà déposé à l’aide de votre ancien compte Paypal."
23,Je souhaite retirer mes gains vers un compte Skrill,"Lorsqu'un dépôt est validé, un email de confirmation récapitulant celui-ci vous est envoyé. Si vous avez bien reçu cet email mais n'avez pas été crédité sur votre compte, merci de contacter le support client.

Il peut y avoir un léger délai entre le moment où vous effectuez votre dépôt et celui où l'argent apparait sur votre compte Winamax.

Notez que les dépôts par virement bancaire sont traités sous 72 heures ouvrées (hors week-ends et jours fériés)."
24,Je n'ai pas reçu mon retrait,"Vous devez au préalable avoir validé votre compte de manière définitive en nous ayant envoyé dans les délais impartis la copie de votre pièce d'identité et un justificatif de domicile à votre nom. (Pour plus d’informations, consultez la section « Comment compléter mon inscription » au sein de cette FAQ)

Pour retirer votre argent vers un compte bancaire, connectez-vous au site Winamax avec votre email et votre mot de passe, puis rendez-vous dans la section « Mon espace perso ». Cliquez ensuite sur le bouton « Effectuer un retrait » ou rendez-vous directement sur cette page. Vous devrez ensuite renseigner vos coordonnées bancaires, nous transmettre le document bancaire (RIB ou IBAN) correspondant et saisir le montant du retrait désiré.

Il est nécessaire que vous disposiez d'un compte dans une banque établie dans un État membre de l'Union Européenne."
25,Puis-je faire un retrait de mes gains vers mon compte Paypal / Neteller ?,"Pour retirer votre argent vers un compte Skrill, vous devez tout d’abord associer votre compte Skrill à votre compte Winamax en vous rendant sur cette page. 

Vous devrez sélectionner le type de moyen de retrait à ajouter (Skrill) puis saisir l’adresse email liée à votre compte Skrill.

Une fois cette opération effectuée, vous devrez nous transmettre un document attestant que votre compte Skrill a été vérifié."
26,Quelles informations bancaires saisir lors d’une demande de retrait ?,"Lorsque vous demandez un retrait, un premier email de confirmation vous est envoyé pour vous informer que ce retrait est en cours de traitement. 

Vous recevrez un second email une fois votre moyen de retrait validé. Le retrait sera alors automatiquement traité par nos services. 

Les coordonnées bancaires que vous avez renseignées sont rappelées dans cet email. Votre retrait devrait vous parvenir par virement bancaire sur ce compte sous quelques jours (5 jours ouvrables au maximum). 

Notez que les retraits n’apparaissent dans votre historique de compte qu’une fois validés par nos services."
27,Des frais sont-ils prélevés lors des transactions sur mon compte Winamax ?,Il n'est pas possible de procéder à un retrait via un prestataire tel que Paypal ou Neteller. Vos gains ne peuvent être virés que vers le compte bancaire ou le compte Skrill associé à votre compte Winamax
28,Comment bénéficier de mon bonus de premier dépôt ?,"Le bonus de premier dépôt qui est offert correspond à 100% de votre premier dépôt dans la limite de 500 €. Cette offre est automatiquement déclenchée lors de votre premier dépôt si vous y êtes éligible. Nous créditerons votre compte par tranche de 20% de la valeur du bonus dès que vous aurez cumulé assez de Miles. Pour obtenir 1€ de bonus, il vous suffit de cumuler 30 Miles. 

Ainsi, si vous avez déposé 100€ lors de votre premier dépôt, nous vous créditerons 20 € lorsque vous aurez atteint 600 Miles, puis 20€ supplémentaires quand vous aurez atteint 1200 Miles, etc. Au total vous aurez été crédité de 100€ supplémentaires lorsque vous aurez atteint 3000 Miles. 

Vous pourrez suivre l’évolution de vos bonus à partir du logiciel (rubrique ""Mon compte"" puis ""Mes Bonus"") ou depuis cette page.

Pour plus d'informations sur cette offre, nous vous invitons à consulter la rubrique dédiée."
29,Comment bénéficier du montant de mon premier dépôt jusqu’à 100 €   ?,"Lors de votre tout premier dépôt sur Winamax, et avant n'importe quelle action de jeu, nous vous offrons le montant de votre dépôt en Freebets jusqu’à 100 €. Cette offre est déclenchée lors de votre premier dépôt si vous y êtes éligible.

Par exemple, si vous déposez 100 € sur Winamax, vous recevrez immédiatement 100 € de Freebets sur votre compte et pourrez commencer à parier sur les différents sports. Les gains nets issus de Freebets sont versés en cash sur votre compte.


Pour plus d'informations sur cette offre, nous vous invitons à consulter la rubrique dédiée."
30,Comment évolue mon statut VIP ?,"Votre statut VIP (représenté graphiquement par un jeton de métal : Chrome, Aluminium, Bronze, etc.) est mensuel : votre compteur est remis à zéro le 1er de chaque mois et vous devrez à nouveau « cumuler » des Miles pour conserver votre statut et éventuellement l'améliorer.
 
Toutefois, votre statut ne peut qu'évoluer favorablement au cours du mois : dès que vous avez atteint un certain échelon de métal, vous gardez au minimum votre statut jusqu'à la fin du mois suivant, ce qui vous permet de bénéficier des freerolls et des promotions spéciales associées au statut, ainsi que d’engranger vos miles à un coefficient accéléré (x1,25 pour le statut Bronze, x1,5 pour le statut Silver, et ainsi de suite.)
 
Les avantages liés à votre statut VIP, tels que les tickets Freerolls VIP et les bonus à débloquer, sont crédités sur votre compte le mois suivant l’obtention de votre statut.
Les statuts VIP Diamond sont des statuts annuels et tiennent compte des miles accumulés lors des 12 derniers mois.

Pour plus d'informations sur le sujet, n'hésitez pas à consulter le règlement de l'espace VIP."
31,Comment s'inscrire aux tournois gratuits (Freerolls) ?,"Les tournois « Freerolls » sont des tournois gratuits en accès libre pour tous les joueurs de poker de Winamax ayant activé leur compte en argent réel, sans exception.
 
Ces Freerolls, accessibles gratuitement, vous permettent d'éprouver les émotions des vrais tournois et de gagner de vrais euros ! Il y a 12 Freerolls par jour, programmés entre 11h00 et 00h15. Les inscriptions à ces tournois sont ouvertes 30 minutes avant le début de celui-ci, et les places sont limitées. Réservez vite votre siège !"
32,Je veux m'inscrire au Freeroll de mon Statut VIP,"Vous avez obtenu un ticket pour participer au Freeroll de votre statut. Pour vous inscrire, connectez-vous tout d'abord sur notre logiciel.
 
Ensuite, rendez-vous dans la rubrique « Mon compte » pour consulter vos tickets disponibles. En cliquant sur un ticket, vous aurez la possibilité de voir les tournois auxquels celui-ci vous permet de participer et de vous inscrire directement."
33,J’ai reçu un bonus mais il n’a pas été crédité sur mon compte,"Vous devez disposer d’un compte validé pour que vos bonus vous soient crédités. Si vous n'avez pas encore envoyé vos documents, nous vous invitons à consulter la rubrique « Comment activer définitivement mon compte ? » de la FAQ. 

Par ailleurs, vous pouvez suivre l’évolution de vos bonus à partir du logiciel (rubrique ""Mon compte"" puis ""Mes Bonus"") ou depuis cette page."
34,Comment faire la différence entre les tables en argent réel ou Fictif ?,"Vous pouvez basculer entre les deux modes grâce au bouton situé sur le menu principal de l’application (« Home »), à droite de votre pseudo."
35,Comment rejoindre une partie de poker ?,"Tous les formats de poker proposés sur Winamax sont facilement accessibles depuis l’écran principal de notre application : cash-game, Expresso, tournois, Sit&Go, etc. Après avoir cliqué sur la catégorie de votre choix, vous pouvez utiliser les filtres disponibles pour affiner votre recherche et n’afficher que les tables qui vous intéressent. Double-cliquez ensuite sur la table ou le tournoi que vous souhaitez rejoindre, puis cliquez sur le bouton « Jouer », « S’asseoir », ou « Inscription » (selon le type de partie choisi). En tournoi ou en Sit&Go, vous pouvez également vous inscrire directement en cliquant sur le buy-in (prix d’inscription) du tournoi affiché dans la colonne de droite.

Si la table choisie est pleine, vous aurez la possibilité de vous inscrire en liste d’attente. Dès qu’un siège sera libre, vous serez automatiquement installé à cette table.

Si vous débutez, nous vous recommandons une table en Argent Fictif, c’est-à-dire une table où vous ne jouez pas de véritable argent."
36,Qu’est-ce que le Playground ?,"Le Playground est une toute nouvelle interface développée par Winamax, conçue pour faciliter l’organisation des tables de poker sur votre (ou vos) écrans. Les amateurs de multitabling (plusieurs tables jouées simultanément) apprécieront particulièrement cette fonctionnalité exclusive à Winamax, et dont nous dévoilons tous les détails sur cette page."
37,Qu’est-ce que le HUD (Heads-Up Display) ?,"Le logiciel Winamax intègre un tableau de bord de statistiques, actualisées en temps réel et affichées directement sur la table de poker. Ce tableau de bord (en anglais HUD, pour Heads Up Display) vous permet d’affiner votre connaissance de vos adversaires (et de vous-même au passage !), en gardant en mémoire certaines données clés de l’action à table. Toutes les explications sur le fonctionnement du HUD sont détaillées sur cette page."
38,Comment recharger mon compte Argent Fictif ?,"Vous pouvez recharger votre compte en Argent Fictif via l'application. Connectez-vous et cliquez sur ""Mon compte > Argent fictif "" puis ""Recharger"". Notez que les recharges de votre compte Argent fictif sont limitées à 2 recharges gratuites toutes les 24 heures."
39,Mon solde poker n'est pas à jour,"Lorsque vous quittez une table de cash-game, votre argent, qui est momentanément bloqué sur la table, est reversé sur votre compte quelques instants plus tard.

Votre solde est affiché dans le coin supérieur droit du logiciel, ainsi que sur le menu principal (« Home ») et dans votre espace personnel sur le site Web."
40,Comment utiliser un ticket de tournoi ?,"Lorsque vous gagnez un ticket, vous bénéficiez d’une entrée gratuite pour un tournoi du montant du buy-in indiqué sur le ticket.

Les tournois pour lesquels ce ticket est utilisable seront repérables grâce à l’icône « Ticket » apparaissant dans une case jaune dans le menu des tournois. Notez que les tickets ont une date de validité. Vous pouvez consulter cette date de validité en vous connectant sur votre espace personnel ou depuis le logiciel en cliquant sur le bouton « Mes tickets » depuis le menu d’accueil (« Home »). De plus, en cliquant sur un ticket, vous aurez la possibilité de voir les tournois auxquels celui-ci vous permet de participer."
41,Je ne trouve pas un tournoi en particulier,"Si vous ne parvenez pas à trouver un tournoi donné, nous vous invitons à vérifier que vos filtres de recherches (menus déroulants au-dessus de la liste des tournois) n’en bloquent pas l’accès.

Vous pouvez également utiliser la fonction « Recherche » (icône représentant une loupe en haut à gauche de la fenêtre du logiciel) pour saisir directement le nom du tournoi concerné."
42,Comment montrer mes cartes aux autres joueurs ?,"Pour montrer ses cartes aux autres joueurs de la table au moment où vous remportez un coup, il vous faut désactiver l’option « Cacher les mains gagnantes » directement depuis la table de jeu (cliquez sur le bouton « … » en bas à droite). Cette opération peut aussi être réalisée dans les options du logiciel. Pour ce faire, cliquez sur le « Menu Burger » (les 3 barres parallèles dans le coin supérieur gauche de la fenêtre), puis sur « Options » puis sur « Jouabilité ». 

Si vous avez activé l’option « Montrer certaines cartes », vous pourrez cliquer sur une ou plusieurs de vos cartes privatives pour ne montrer que celle(s)-ci à la fin de la main."
43,Je souhaite récupérer mon historique de mains et mes notes sur un autre ordinateur,"Les notes sont synchronisées à chaque lancement de l’application, vous retrouverez donc celles-ci même si vous ne vous connectez pas sur votre ordinateur habituel. En revanche, les fichiers d’historique de mains sont enregistrés localement sur votre disque dur dans le répertoire suivant : C:\Users\[Votre nom d’utilisateur]\AppData\Roaming\winamax\documents (sur PC) ou /Users/[Votre nom d’utilisateur]/Library/Application Support/Winamax/documents (sur Mac). Pour accéder directement à ces dossiers, rendez-vous dans les options du logiciel puis dans « Général ». Si vous n’avez pas accès au répertoire, vous pouvez effectuer une demande d’historique de mains en vous rendant sur cette page."
44,Est-il possible de jouer plusieurs tables en même temps ?,Vous pouvez tout à fait jouer sur plusieurs tables en même temps si vous le désirez. Le nombre maximum de tables pouvant être ouvert simultanément est déterminé par la puissance de votre équipement informatique.
45,Comment utiliser les options de l'application ?,Vous trouverez une description des fonctionnalités de notre logiciel sur cette page.
46,Comment signaler des propos vulgaires et/ou interdits sur les tables ?,"Nous prenons très au sérieux tout manquement à notre charte de bonne conduite. Nos modérateurs s’assurent que celle-ci est bien respectée et appliquent les sanctions nécessaires en cas de débordement.

Cependant, en raison du grand nombre de tables et de discussions à surveiller, certains propos déplacés peuvent échapper à notre vigilance. Par conséquent, si vous observez de tels agissements, nous vous invitons à les signaler en nous communiquant le pseudo du ou des joueurs concernés et en nous faisant parvenir des copies d'écran illustrant ces propos."
47,Je ne parviens pas à me connecter,"Vérifiez tout d'abord l'état de votre connexion Internet, et veillez à ce que votre antivirus, pare-feu (firewall) et/ou votre équipement réseau ne bloque pas l'application.
Si vous avez perdu votre mot de passe, vous pouvez le modifier sur cette page. 

Si malgré tout vous ne parvenez pas à vous connecter, n'hésitez pas à envoyer un email au support en expliquant votre problème."
48,Comment configurer mon Pare-feu/firewall pour jouer ?,"Pour pouvoir jouer sur notre application en étant derrière un firewall, il faut que ce dernier soit configuré de manière à autoriser les connexions via le port 443."
49,Winamax est-il compatible avec Windows® ?,Le logiciel fonctionne parfaitement sous Windows®. N'oubliez pas d'ajouter Winamax dans les programmes de confiance de Windows.
50,Winamax est-il compatible avec Macintosh® ?,Le logiciel fonctionne parfaitement sur toutes les versions de MAC OS à partir de la version 10.4.
51,Winamax est-il compatible avec Linux ?,"Pour jouer sur Winamax depuis une distribution Linux, rien de plus simple : notre logiciel est accessible sans téléchargement depuis les principaux navigateurs Internet, avec les mêmes fonctions et un look identique au logiciel."
52,Winamax est-il accessible sur mon smartphone ?,Le logiciel est disponible sur Android (mobiles et tablettes) et sur iOS (iPhone et iPad).
53,J’ai rencontré un problème de connexion lors d'une partie,"Ce type d’incident peut avoir des causes multiples, inhérentes au fonctionnement d'Internet (votre PC, votre fournisseur d'accès, les liens entre votre fournisseur d'accès, nos serveurs, etc.).

En cas de déconnexion, vous passez automatiquement en mode ""Check/Fold"", pour ne pas perdre d'argent. Pour retrouver vos tables de jeu en cas de déconnexion, nous vous conseillons de redémarrer l'application. Si vous n’êtes pas réintégré à vos tables automatiquement, cliquez sur le bouton « Mon compte », puis rendez-vous sur l’onglet « Mes parties ».

Si vous pensez que ce problème n'est pas lié à votre connexion internet ou à votre ordinateur, merci de nous préciser la date, l'heure et l'identifiant du tournoi ou de la table de cash game concerné. En cas de doute, vous pouvez consulter votre historique de compte.

S’il est avéré que ce problème est lié à un incident technique provenant de nos services, nous conviendrons d'un remboursement selon les modalités prévues par l'article 3 ""DYSFONCTIONNEMENTS, DECONNEXIONS ET BUGS"" de nos Conditions Générales d'Utilisation."
54,Je n’arrive pas à installer le logiciel sous Windows®,"Si vous rencontrez des difficultés lors de l’installation de notre logiciel, nous vous invitons à suivre la procédure suivante :

•	Désinstallez les éventuelles versions existantes de l’application Winamax en utilisant le gestionnaire d’application Windows ou en exécutant le fichier C:\Users\[NOM DE VOTRE SESSION]\Winamax\uninstall.exe.

•	Une fois la désinstallation effectuée, assurez-vous que le répertoire suivant a bien été effacé :
C:\Users\[NOM DE VOTRE SESSION)\Winamax\ (si ce n'est pas le cas, supprimez-le manuellement)
•	Installez ensuite la dernière version de notre application en vous rendant sur la page ci-dessous : 

https://www.winamax.fr/jouer-au-poker?dl=1

Si malgré cette procédure, vous ne parvenez toujours pas à installer le logiciel, veuillez contacter le support en répondant à ces questions :

•	Quel est votre système d'exploitation ? Son numéro de version (précisez s’il y a des services pack) ?
•	Utilisez-vous un antivirus ? Si oui, lequel ? L’installation fonctionne-t-elle en le désactivant ?
•	Avez-vous reçu un message d’erreur particulier ?

Nous vous demanderons aussi de nous faire parvenir une capture d'écran illustrant la situation. Pour cela, pressez la touche « Impr Ecran » située en haut à droite de votre clavier. Récupérez la capture d’écran en ouvrant un logiciel tel que Paint ou Word, et faites un collé (clic droit/coller ou Ctrl + V).
Enfin, il sera également nécessaire de nous nous faire parvenir les fichiers ""logs"" d'installation (C:\Users\[NOM DE VOTRE SESSION] \Appdata\Local\Temp\winamax.install.log)"
55,Je n’arrive pas à installer le logiciel sous Macintosh®,"Si vous rencontrez des difficultés lors de l’installation de notre logiciel, nous vous invitons à suivre la procédure suivante :

•	Supprimez les éventuelles versions existantes de l’application Winamax de votre ordinateur.
•	Installez la dernière version de notre application en vous rendant sur la page ci-dessous : https://www.winamax.fr/jouer-au-poker?dl=1

Si toutefois vous rencontrez des difficultés lors de l’installation de notre logiciel, veuillez contacter le support en répondant à ces questions :

•	Quel est votre système d'exploitation ? Son numéro de version ?
•	Utilisez-vous un antivirus ? Si oui, lequel ? L’installation fonctionne-t-elle en le désactivant ?
•	Avez-vous reçu un message d’erreur particulier ?

Nous vous demanderons aussi de nous faire parvenir une capture d'écran illustrant la situation. Pour cela, appuyez simultanément sur les touches cmd + MAJ + 3. La capture d’écran est automatiquement sauvegardée sur le bureau. 

Enfin, il sera également nécessaire de nous nous faire parvenir les fichiers ""logs"" d'installation (/tmp/winamax.install.log)."
56,Je voudrais annuler un pari que je viens de placer,"Une fois qu’un pari a été validé, il n’est pas possible de le modifier ou de l’annuler. Pour plus d'informations à ce sujet, vous pouvez consulter le règlement des paris sportifs."
57,Je n’ai pas reçu les gains de mon pari gagnant,"De manière générale, les paris sportifs effectués sur notre site sont payés une fois le résultat officiel de la rencontre publié.

Cependant, il peut arriver à de rares occasions qu'il y ait un léger délai dans le versement des gains."
58,L’un des paris de mon combiné a été annulé,"Dans un pari combiné, si une ou plusieurs sélections sont annulées (par exemple suite à l'abandon d'un joueur), elles sont considérées comme gagnantes avec une cote de 1,00. La cote globale de votre pari est alors recalculée.
Pour plus d’informations à ce sujet, nous vous invitons à consulter l’article 5 du règlement des paris sportifs."
59,L’un des paris de mon MyMatch a été annulé,"Si une sélection est annulée à l’intérieur d’un MyMatch, le MyMatch entier est annulé quelle que soit l’issue des autres sélections. Pour plus d’informations à ce sujet, nous vous invitons à consulter le règlement de cette offre."
60,Les paris sportifs permettent-ils de remporter des Miles ?,"Lorsque vous placez des paris sportifs, vous cumulez des points de fidélité, appelés Miles. 
Lors d’un pari (simple ou combiné) ces Miles sont gagnés en fonction du montant de la mise et de la cote du pari. Pour chaque euro parié, les joueurs cumulent ainsi : 
1€ x 0,4 x (1 - 1/Cote).
Exemple - Vous pariez 100€ à une cote de 2,5 contre 1. Le calcul se décompose ainsi :
100€ x 0,4 x (1 – (1/2,5)) = 24 miles engrangés

Vous pouvez engranger des Miles de manière beaucoup plus rapide grâce au statut VIP et le coefficient multiplicateur correspondant. Plus  votre statut VIP sera élevé, plus vous collecterez rapidement des Miles. 

Si l’on reprend l’exemple ci-dessus dans le cas d’un statut VIP Diamond *, dont le coefficient multiplicateur est de 3, vous collecterez un total de 24 x 3 = 72 miles."
61,Que sont les Freebets ?,"Les Freebets sont des paris gratuits offerts par Winamax dans le cadre d'offres promotionnelles. Ils peuvent être utilisés en plaçant des paris sur tous les sports. 

Votre solde de Freebets est visible à côté de votre solde en argent réel (en-dessous sur la version mobile).

Pour utiliser vos Freebets, il vous suffit d'activer le bouton ""Pariez en Freebets"" au moment de votre prise de pari. Si votre pari est gagnant, seuls les gains nets (gains - mise) sont crédités sur votre compte. 

Pour plus d'informations sur les Freebets, nous vous invitons à consulter la page dédiée.

Pour gagner tous les jours des Freebets, nous vous recommandons chaudement de suivre nos comptes sport sur les réseaux sociaux : 

- https://twitter.com/WinamaxSport

- https://www.facebook.com/winamaxsport"
62,Comment fonctionnent les paris système ?,"Les paris système vous permettent de parier en une seule fois sur plusieurs paris combinés. Ils vous permettent de remporter des gains même si un ou plusieurs pronostics de votre combiné initial ne se sont pas réalisés.

Retrouvez les détails du fonctionnement des paris système sur la page suivante : https://www.winamax.fr/paris-systeme"
63,Comment fonctionnent les favoris ?,"Sélectionnez les matchs que vous souhaitez ajouter à vos favoris en cliquant sur l'étoile à coté de ces matchs. La couleur jaune de l'étoile vous confirme que le match a bien été ajouté. Vous pouvez cliquer à nouveau sur l'étoile pour enlever le match de vos favoris.
Retrouvez vos matchs favoris en cliquant sur le bouton ""Mes favoris"", dans le menu de gauche. Seuls ces matchs apparaîtront, et vous pourrez ainsi suivre plus facilement les matchs que vous souhaitez.

Vos favoris restent en place d'une session à l'autre.

Lorsque vous pariez sur un match, ce match est automatiquement ajouté à vos favoris. Cette option peut être désactivée à l'adresse suivante : https://www.winamax.fr/mon-compte_options-paris-sportif"
